Name,Level,AC,Low Save,Hi Save,Median Save,Fort,Ref,Will,HP,Atk,DC,Dmg
Zombie Shambler,-1,12,0,6,2,6,0,2,20,7,0,1d6+4
Zombie Hulk,6,21,9,16,12,16,9,12,160,17,0,0
Zombie Brute,2,15,3,10,6,10,3,6,70,11,0,0
Zephyr Hawk,3,21,6,13,7,6,13,7,36,11,0,0
Zaramuun,16,39,25,34,30,34,30,25,291,33,38,0
Young White Dragon,6,23,11,16,14,16,14,11,115,17,24,0
Young Silver Dragon,10,31,17,21,20,20,17,21,200,23,29,0
Young Red Dragon,10,30,18,21,19,21,18,19,210,23,30,0
Young Green Dragon,8,28,16,17,16,16,16,17,135,20,25,0
Young Gold Dragon,11,32,20,22,22,22,20,22,230,24,31,0
Young Copper Dragon,8,27,16,17,16,16,17,16,150,20,27,0
Young Bronze Dragon,9,28,17,19,19,19,17,19,170,21,28,0
Young Brass Dragon,7,25,14,16,15,16,15,14,125,19,26,0
Young Blue Dragon,9,28,18,19,19,19,18,19,170,21,28,0
Young Black Dragon,7,25,12,17,15,17,12,15,125,19,25,0
Yeti,5,21,11,15,13,15,11,13,115,15,23,0
Xulgath Skulker,2,19,5,10,8,8,10,5,28,10,16,0
Xulgath Leader,3,20,6,9,9,9,6,9,44,11,19,0
Xulgath,1,16,4,8,7,8,7,4,21,9,16,0
Xorn,7,25,11,18,13,18,11,13,115,18,0,0
Wyvern,6,24,12,16,13,16,12,13,95,17,22,0
Wraith,6,24,8,14,14,8,14,14,80,17,23,0
Wolf,1,15,5,9,6,6,9,5,24,9,0,0
Winter Wolf,5,23,10,15,13,13,15,10,70,15,21,0
Will-O'-Wisp,6,27,10,16,14,10,16,14,50,17,0,0
Wight,3,18,6,11,10,11,6,10,50,12,17,0
Werewolf,3,19,7,11,9,11,9,7,63,11,19,0
Wererat,2,19,6,10,8,6,10,8,45,10,18,0
Werebear,4,23,10,12,10,12,10,10,75,13,22,0
Wendigo,17,40,26,32,30,32,30,26,315,33,38,0
Wemmuth,15,37,24,27,27,27,27,24,335,29,37,0
Web Lurker,3,19,8,11,10,10,11,8,45,11,19,0
Water Mephit,1,16,4,11,7,7,11,4,20,8,17,0
Wasp Swarm,4,18,8,12,10,10,12,8,45,0,21,0
Warsworn,16,37,25,29,27,29,25,27,350,32,37,0
Warg,2,17,6,11,9,11,9,6,36,11,0,0
War Pony,1,16,5,8,7,8,7,5,20,7,0,0
War Horse,2,17,6,8,7,8,7,6,36,9,0,0
Vrock (Wrath Demon),9,28,15,20,18,20,18,15,185,21,28,0
Voidworm,1,17,5,9,6,5,9,6,16,9,16,0
Viper,-1,15,2,7,5,2,7,5,8,8,16,0
Velociraptor,1,16,,,,5,7,4,20,8,0,0
Veiled Master,14,34,22,26,24,26,22,24,270,30,37,0
Vampire Spawn Rogue,4,22,9,13,11,9,13,11,40,14,0,0
Vampire Mastermind,9,27,15,20,18,15,18,20,115,18,29,0
Vampire Count,6,24,11,17,14,11,14,17,65,17,22,0
Vampire Bat Swarm,1,15,6,9,6,6,9,6,11,0,16,0
Uthul,14,36,22,29,28,28,29,22,250,29,34,0
Unicorn,3,20,8,11,10,10,8,11,45,12,21,0
Ulat-Kini (Skum),2,16,4,7,7,7,7,4,40,10,0,0
Tyrannosaurus,10,29,,,,21,15,19,180,22,29,0
Troll King,10,28,15,23,17,23,17,15,220,23,29,0
Troll,5,20,7,17,11,17,11,7,115,14,0,0
Triceratops,8,26,,,,18,12,14,140,19,26,0
Treerazer,25,54,40,43,42,42,40,43,550,47,49,0
Tor Linnorm,21,47,33,38,35,38,35,33,440,40,46,0
Tiger,4,21,8,13,11,13,11,8,60,13,0,0
Tiefling,3,17,5,8,7,5,7,8,29,7,21,0
Tidal Master,9,28,15,21,18,18,21,15,155,21,0,0
Terotricus,19,42,28,34,33,34,28,33,370,37,40,0
Tengu Sneak,2,19,4,10,7,7,10,4,27,10,17,0
Tarn Linnorm,20,46,31,36,32,36,32,31,400,38,44,0
Succubus (Lust Demon),7,23,14,17,15,15,14,17,100,16,26,0
Storm Lord,9,30,15,20,16,15,20,16,120,20,0,0
Storm Giant,13,34,21,28,23,28,21,23,235,27,33,0
Stone Mauler,9,27,15,23,19,23,15,19,180,21,0,0
